basin_id,NSE
GRDC_6321100,0.546
GRDC_6321200,0.604
GRDC_6334270,0.553
GRDC_6334280,
GRDC_6334800,0.515
GRDC_6335020,0.58
GRDC_6335030,0.65
GRDC_6335031,0.609
GRDC_6335032,0.491
GRDC_6335035,0.562
GRDC_6335040,0.563
GRDC_6335045,0.677
GRDC_6335046,0.654
GRDC_6335048,0.661
GRDC_6335050,0.616
GRDC_6335055,0.632
GRDC_6335060,0.618
GRDC_6335070,0.615
GRDC_6335075,0.612
GRDC_6335076,0.663
GRDC_6335080,0.633
GRDC_6335081,0.621
GRDC_6335082,0.531
GRDC_6335083,0.624
GRDC_6335100,0.639
GRDC_6335113,0.684
GRDC_6335115,0.705
GRDC_6335116,0.683
GRDC_6335117,0.627
GRDC_6335125,0.694
GRDC_6335150,0.645
GRDC_6335155,0.63
GRDC_6335156,0.535
GRDC_6335160,0.657
GRDC_6335165,0.647
GRDC_6335167,0.666
GRDC_6335170,0.694
GRDC_6335175,0.638
GRDC_6335180,0.682
GRDC_6335190,0.593
GRDC_6335200,0.711
GRDC_6335240,0.598
GRDC_6335290,0.679
GRDC_6335291,0.696
GRDC_6335300,0.698
GRDC_6335301,0.646
GRDC_6335302,0.607
GRDC_6335303,0.657
GRDC_6335304,0.564
GRDC_6335310,0.611
GRDC_6335320,0.693
GRDC_6335350,0.661
GRDC_6335351,0.658
GRDC_6335360,0.611
GRDC_6335400,0.701
GRDC_6335410,0.672
GRDC_6335450,0.686
GRDC_6335451,
GRDC_6335460,0.727
GRDC_6335461,
GRDC_6335465,0.668
GRDC_6335470,0.715
GRDC_6335485,0.653
GRDC_6335500,0.591
GRDC_6335510,0.596
GRDC_6335520,0.659
GRDC_6335521,0.658
GRDC_6335530,0.649
GRDC_6335540,0.611
GRDC_6335550,0.62
GRDC_6335551,0.645
GRDC_6335560,0.649
GRDC_6335565,0.681
GRDC_6335570,0.629
GRDC_6335571,0.609
GRDC_6335580,0.656
GRDC_6335600,0.733
GRDC_6335601,0.726
GRDC_6335602,0.723
GRDC_6335603,0.684
GRDC_6335604,0.719
GRDC_6335606,0.718
GRDC_6335610,0.694
GRDC_6335620,0.654
GRDC_6335621,0.658
GRDC_6335635,0.684
GRDC_6335640,0.667
GRDC_6335650,0.65
GRDC_6335651,0.656
GRDC_6335660,0.692
GRDC_6335665,0.656
GRDC_6335670,
GRDC_6335671,0.563
GRDC_6335675,0.713
GRDC_6335676,0.696
GRDC_6335677,0.687
GRDC_6335680,0.605
GRDC_6335681,0.618
GRDC_6335690,0.711
GRDC_6335695,0.683
GRDC_6335696,0.61
GRDC_6335697,
GRDC_6335700,0.653
GRDC_6335710,0.644
GRDC_6335720,0.64
GRDC_6335725,0.654
GRDC_6335730,0.634
GRDC_6335735,0.661
GRDC_6335800,0.626
GRDC_6335810,0.659
GRDC_6335820,0.635
GRDC_6335830,0.658
GRDC_6336050,0.69
GRDC_6336500,0.677
GRDC_6336510,0.642
GRDC_6336800,0.634
GRDC_6336900,0.666
GRDC_6336910,0.616
GRDC_6336920,0.724
GRDC_6336930,0.696
GRDC_6337050,0.48
GRDC_6337060,0.561
GRDC_6337100,0.454
GRDC_6337200,0.537
GRDC_6337250,0.528
GRDC_6337300,0.506
GRDC_6337310,0.625
GRDC_6337320,0.596
GRDC_6337330,0.545
GRDC_6337340,0.567
GRDC_6337350,0.484
GRDC_6337400,0.55
GRDC_6337410,0.608
GRDC_6337500,0.649
GRDC_6337501,0.544
GRDC_6337502,0.524
GRDC_6337503,0.163
GRDC_6337504,0.565
GRDC_6337505,0.097
GRDC_6337506,0.553
GRDC_6337507,0.478
GRDC_6337508,0.604
GRDC_6337509,0.627
GRDC_6337510,0.57
GRDC_6337511,0.593
GRDC_6337512,0.629
GRDC_6337513,0.57
GRDC_6337514,0.533
GRDC_6337515,0.542
GRDC_6337516,0.564
GRDC_6337517,0.541
GRDC_6337518,0.517
GRDC_6337519,0.557
GRDC_6337520,0.567
GRDC_6337521,0.524
GRDC_6337530,0.651
GRDC_6337540,0.604
GRDC_6337541,0.574
GRDC_6337542,0.526
GRDC_6337550,0.543
GRDC_6337560,0.482
GRDC_6337570,0.638
GRDC_6337580,0.553
GRDC_6337590,0.505
GRDC_6337600,0.636
GRDC_6337601,0.631
GRDC_6337610,0.588
GRDC_6338010,0.575
GRDC_6338100,0.56
GRDC_6338110,0.557
GRDC_6338120,0.675
GRDC_6338130,0.599
GRDC_6338140,0.559
GRDC_6338150,0.663
GRDC_6338160,0.57
GRDC_6338161,0.586
GRDC_6338162,0.594
GRDC_6338163,0.572
GRDC_6338200,0.587
GRDC_6338201,0.569
GRDC_6338210,0.611
GRDC_6338250,0.586
GRDC_6338260,0.533
GRDC_6340050,0.52
GRDC_6340070,0.484
GRDC_6340110,0.397
GRDC_6340120,0.534
GRDC_6340130,0.519
GRDC_6340140,0.505
GRDC_6340150,0.441
GRDC_6340160,0.465
GRDC_6340170,0.497
GRDC_6340180,0.491
GRDC_6340190,0.528
GRDC_6340200,0.472
GRDC_6340210,0.53
GRDC_6340215,0.581
GRDC_6340216,0.562
GRDC_6340218,0.597
GRDC_6340220,0.391
GRDC_6340225,0.574
GRDC_6340300,0.518
GRDC_6340301,0.532
GRDC_6340302,0.49
GRDC_6340303,0.627
GRDC_6340310,0.519
GRDC_6340315,0.475
GRDC_6340320,0.537
GRDC_6340330,0.571
GRDC_6340335,0.58
GRDC_6340340,0.503
GRDC_6340350,0.533
GRDC_6340360,0.427
