Catchment,prcptot,RR1,rx1day,rx5day,cwd,rr20mm,r90p,r95p,r99p,r90pday,r95pday,r99pday,nrr95p,nrr99p,dry_days,cdd,Year
GRDC_6321100,839.7729999999999,157.2,25.74,57.325,11.3,2.3,10.5912,13.186149999999998,20.759300000000017,16.2,8.4,2.0,0.23058396910289874,0.13228625615361705,207.7,18.6,2015.5
GRDC_6321200,896.479,167.9,27.354000000000003,58.117,12.2,1.6,10.3826,13.053399999999996,21.174049999999987,17.3,8.9,2.0,0.2423380968670954,0.15760660000662402,197.1,15.6,2015.5
GRDC_6334270,875.0649999999999,160.2,27.347,54.955,10.8,2.0,10.580200000000001,13.3298,19.554440000000007,16.6,8.5,2.0,0.2389376880101745,0.14669559637151391,204.5,19.1,2015.5
GRDC_6334280,884.859,162.1,27.463,55.641999999999996,11.1,2.2,10.573600000000003,13.297499999999994,19.58547,16.8,8.7,2.0,0.2420279761326461,0.1470346307974489,202.7,19.5,2015.5
GRDC_6334800,838.3280000000001,157.3,27.285000000000004,52.95,10.3,2.2,10.435100000000002,13.228299999999999,20.10164999999999,16.4,8.5,2.0,0.2358813909562459,0.1460304577812708,207.3,18.2,2015.5
GRDC_6335020,1047.75,204.4,22.16,53.177,15.6,0.9,9.716800000000001,12.233349999999994,16.782339999999994,20.9,10.7,2.6,0.28172907538193415,0.19376625071557696,160.2,15.3,2015.5
GRDC_6335030,1047.493,181.9,28.77,63.928999999999995,15.3,3.2,11.002,14.896849999999995,23.27927,18.8,9.8,2.2,0.2606747662431898,0.15085914793801253,182.9,16.5,2015.5
GRDC_6335031,1003.4950000000001,179.3,29.717000000000002,62.336,14.7,3.4,10.6964,13.832550000000001,23.50336000000001,18.4,9.5,2.1,0.260540408966711,0.15152155189335434,185.5,16.7,2015.5
GRDC_6335032,1029.225,180.4,30.613999999999997,62.034000000000006,14.5,3.1,11.2845,13.934099999999997,22.272159999999996,18.7,9.4,2.2,0.25275977322493315,0.1520932660741999,184.4,16.5,2015.5
GRDC_6335035,1021.124,179.3,29.249000000000002,61.253,14.7,3.3,11.2128,14.167749999999995,21.50689999999998,18.5,9.4,2.1,0.25440567722847407,0.15373491608415285,185.6,17.0,2015.5
