Catchment,prcptot,RR1,rx1day,rx5day,cwd,rr20mm,r90p,r95p,r99p,r90pday,r95pday,r99pday,nrr95p,nrr99p,dry_days,cdd,Year
GRDC_6321100,797.6309258532999,224.8,21.084770650000003,49.192893860000005,24.6,0.9,6.430196866999999,8.715372254999995,14.147757742999994,22.9,11.6,2.8,0.3119153352866292,0.17992909639541682,140.5,15.4,2015.5
GRDC_6321200,906.3888208680089,232.8,20.097659099999998,49.482126300000004,25.1,0.4,7.406980674000001,9.652495744999998,15.208723708999997,23.8,12.2,3.0,0.31253629100811275,0.18589787284960144,132.5,16.3,2015.5
GRDC_6334270,859.8708635405001,226.3,22.8842802,46.41727969,25.3,0.6,7.148867534999999,9.169398899999997,13.476050416499998,23.0,11.8,2.9,0.30665643022464223,0.19753359128712575,139.0,22.5,2015.5
GRDC_6334280,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,2015.5
GRDC_6334800,945.0435801627,242.1,19.3889612,54.90313553,33.2,0.8,7.0658285,9.358759449999997,14.301590293000004,24.8,12.6,3.0,0.3277841850618225,0.20393882538830477,123.2,18.6,2015.5
GRDC_6335020,1186.80039805197,300.7,17.7774029,53.425292690000006,46.4,0.1,7.492133845000001,9.268959737499998,13.315702763499994,30.5,15.4,3.5,0.3742313832804967,0.25621268006236064,64.6,11.0,2015.5
GRDC_6335030,1085.304533593608,247.4,23.2164974,61.19668445,26.5,1.4,8.588021305000002,11.113756719999998,17.414225046500004,25.1,12.8,3.0,0.30660639308510645,0.18501126526728698,117.9,15.7,2015.5
GRDC_6335031,999.45116817578,242.5,22.3701531,57.977783419999994,33.0,1.1,7.6858181860000006,10.657783979999996,16.513605652000013,24.7,12.6,3.0,0.3177800158738534,0.1835283918003803,122.8,17.5,2015.5
GRDC_6335032,1029.3529649366299,264.4,21.88235575,62.15260275000001,32.2,1.3,7.367005732000003,9.570818654999997,16.23659889550004,26.8,13.7,3.1,0.3292863634638457,0.19654338376447872,100.9,9.9,2015.5
GRDC_6335035,1029.5750287347,253.9,22.7840658,57.58261602,31.3,1.0,8.008744889,10.291325964999997,15.543124375999989,26.0,13.3,3.1,0.31021378417883716,0.19924845453795115,111.4,14.0,2015.5
GRDC_6335040,706.3810961147999,182.6,17.733961700000002,41.600525743,18.0,0.3,7.212153402000003,9.413489055999998,15.0180099815,18.6,9.6,2.4,0.28650156152255296,0.16752870599967945,146.2,18.7,2015.5
GRDC_6335045,1099.21685199459,232.3,23.6388418,62.74854183,25.9,1.8,9.357335155000001,12.454501349999997,18.546415642,23.8,12.0,3.0,0.2962762834546531,0.17965997178166074,132.3,19.9,2015.5
GRDC_6335046,1107.02569787864,236.7,22.8296108,58.69704311,31.3,1.4,9.389385704000002,12.431006219999993,18.627897353999995,24.3,12.3,3.0,0.2888458399473065,0.17907135129886362,128.6,19.5,2015.5
GRDC_6335048,1144.433586927245,241.1,25.692603400000003,65.1138467,29.9,2.5,9.593148940000003,12.470047764999993,19.774891342999993,24.5,12.4,2.9,0.2956928876600011,0.17063524310920844,117.4,15.3,2015.5
GRDC_6335050,1171.9486064061998,285.8,19.2897038,54.98868301,40.3,0.2,7.9162621689999995,9.808533874999997,13.4857622055,28.8,14.8,3.4,0.35301356315217314,0.24905043280370548,79.5,15.0,2015.5
GRDC_6335055,1396.0721219634902,261.4,33.7403982,74.11754678,36.1,4.7,11.080257240000003,14.959433624999997,22.468042884000003,26.6,13.5,3.0,0.29341101929036767,0.18119958570231354,103.9,11.0,2015.5
GRDC_6335060,1159.9621816513,277.3,19.2226191,55.51003844,40.2,0.3,8.037294195000001,9.986471047499997,13.910725919999996,28.1,14.2,3.0,0.34921128692807757,0.23987512764869007,88.0,16.1,2015.5
GRDC_6335070,1151.7659732197,273.8,18.7210817,56.083797100000005,44.2,0.2,8.201962149,10.021198955,14.453429683,27.8,14.0,3.0,0.34169086344110516,0.2354639026388991,91.5,16.7,2015.5
GRDC_6335075,801.2425347708,214.9,21.018428800000002,47.50378677,21.6,1.0,6.568545038000001,8.896096249999996,15.205132261999998,22.0,11.2,2.8,0.3062935825298819,0.17324833569682724,150.4,17.3,2015.5
GRDC_6335076,999.1542467837,223.3,22.7177139,54.31378191,26.4,1.3,8.621234615000002,11.544414064999994,18.074165699999995,22.7,11.6,2.9,0.291497193620848,0.1694710227260491,142.0,20.3,2015.5
