,GRDC_6335117,GRDC_6335125,GRDC_6342660,GRDC_6342670,GRDC_6342675
2011-01-01,0.7,2.31,1.01,0.7,0.72
2011-01-02,0.69,2.14,0.98,0.72,0.69
2011-01-03,0.64,1.98,0.98,0.71,0.67
2011-01-04,0.62,1.82,0.93,0.7,0.65
2011-01-05,0.6,1.72,0.9,0.7,0.63
2011-01-06,2.23,1.98,0.88,0.69,0.62
2011-01-07,15.01,5.27,1.31,0.69,0.79
2011-01-08,9.26,8.37,2.31,0.71,1.18
2011-01-09,4.88,8.08,2.7,0.75,1.28
2011-01-10,3.15,8.31,2.78,0.83,1.43
2011-01-11,2.19,6.51,2.78,1.01,1.44
2011-01-12,1.72,5.87,2.25,1.61,2.15
2011-01-13,1.65,10.38,6.35,6.11,11.72
2011-01-14,1.53,13.09,7.3,9.35,9.78
2011-01-15,1.34,9.48,3.62,8.29,2.08
2011-01-16,1.13,6.98,2.44,4.72,1.23
2011-01-17,1.01,5.26,1.75,2.9,0.84
2011-01-18,0.94,4.52,1.66,1.02,0.76
2011-01-19,0.94,4.22,1.44,0.92,0.73
2011-01-20,0.9,3.57,1.31,0.85,0.72
2011-01-21,0.83,3.21,1.22,0.81,0.71
2011-01-22,0.75,2.92,1.18,0.74,0.7
2011-01-23,0.69,2.67,1.12,0.7,0.69
2011-01-24,0.69,2.48,1.08,0.67,0.68
2011-01-25,0.68,2.37,1.06,0.66,0.68
2011-01-26,0.86,2.46,1.06,0.66,0.67
2011-01-27,0.88,2.29,1.03,0.65,0.67
2011-01-28,0.74,2.09,1.02,0.63,0.67
2011-01-29,0.67,1.92,0.88,0.61,0.66
2011-01-30,0.61,1.78,0.9,0.59,0.66
2011-01-31,0.57,1.66,0.9,0.59,0.66
2011-02-01,0.55,1.54,0.87,0.59,0.66
2011-02-02,0.53,1.45,0.86,0.56,0.65
2011-02-03,0.55,1.41,0.86,0.56,0.66
2011-02-04,0.58,1.42,0.87,0.56,0.67
2011-02-05,0.63,1.79,1.34,0.62,1.11
2011-02-06,0.62,1.8,2.25,1.19,1.48
