,GRDC_6335117,GRDC_6335125,GRDC_6342660,GRDC_6342670,GRDC_6342675
2011-01-01,1.0386581,2.6513596,0.84533304,0.65184724,0.6561087
2011-01-02,0.9448067,2.5249949,0.9053901,0.685436,0.6994308
2011-01-03,0.8541482,2.2901466,0.8575666,0.64454657,0.66189176
2011-01-04,0.76542187,2.0429988,0.7701118,0.56873584,0.5866719
2011-01-05,0.6930673,1.8908107,0.7093077,0.5092505,0.52735615
2011-01-06,1.2911248,3.0900097,0.8067278,0.58854246,0.5961479
2011-01-07,1.5197166,4.856964,0.95132124,0.7116591,0.7225547
2011-01-08,1.5976226,5.37382,0.92640525,0.6905491,0.7043586
2011-01-09,2.0140302,6.834637,0.9585539,0.70669997,0.7268503
2011-01-10,1.7551928,6.5549607,1.1362964,0.8519215,0.87262964
2011-01-11,1.6758084,6.325113,1.0303464,0.78481203,0.80239606
2011-01-12,1.8115025,6.832256,1.2267389,0.9177958,0.949027
2011-01-13,1.9977729,7.73043,3.2625008,2.8159716,2.8369365
2011-01-14,1.7985046,7.292016,3.645327,3.1813087,3.1850643
2011-01-15,1.6369601,6.8015704,2.8701081,2.574211,2.5274699
2011-01-16,1.393981,5.7271314,1.9519434,1.828973,1.7591774
2011-01-17,1.2184427,4.6377144,1.3467762,1.2863128,1.2346456
2011-01-18,1.1133901,3.8871202,1.0969459,1.0667006,1.0212412
2011-01-19,1.0041355,3.990491,1.0884732,0.97459555,0.9442687
2011-01-20,0.9358164,4.063362,1.1922066,0.92271066,0.94019556
2011-01-21,0.80675536,3.4969811,1.0196291,0.7628535,0.78377914
2011-01-22,0.7182367,2.8253217,0.8441789,0.6320446,0.64631486
2011-01-23,0.65799356,2.3767939,0.7371081,0.5541396,0.5600648
2011-01-24,0.6257194,2.1755018,1.2797203,0.902563,0.9162905
2011-01-25,0.75338197,2.369576,1.534658,1.0655991,1.0720605
2011-01-26,0.79407436,3.0551453,1.6438718,1.037157,1.0789559
2011-01-27,0.7059895,2.849359,1.4181541,0.90180784,0.9273337
2011-01-28,0.6361675,2.4262564,1.0943326,0.7241599,0.7390003
2011-01-29,0.562724,1.9927325,0.8708124,0.59135526,0.5990104
2011-01-30,0.49846107,1.678993,0.7299403,0.4905097,0.49793786
2011-01-31,0.44928414,1.4694487,0.6646564,0.447421,0.45531267
2011-02-01,0.4220696,1.3230926,0.6238771,0.40123004,0.413307
2011-02-02,0.42320943,1.2473263,0.5927725,0.3731416,0.38524723
2011-02-03,0.5002884,1.2700502,0.689405,0.4476089,0.4590966
2011-02-04,0.50794375,1.3052386,0.74504465,0.49279535,0.5040497
2011-02-05,0.5207407,1.3458201,0.7947672,0.53115445,0.54384935
2011-02-06,0.50898343,1.3473206,0.8201922,0.54326916,0.55833375
2011-02-07,0.49594444,1.3170714,0.7915189,0.5243706,0.5398076
2011-02-08,0.5173626,1.2792408,0.77806675,0.51616853,0.5327901
2011-02-09,0.4797008,1.2489381,0.73459435,0.48979646,0.5029188
2011-02-10,0.49029416,1.2645522,0.7152395,0.47081333,0.48661536
2011-02-11,0.6141478,1.3708408,1.1236898,0.91090184,0.8895348
2011-02-12,0.62495863,1.3128945,1.4369986,1.2255797,1.1751119
2011-02-13,0.70208967,1.3200749,1.2237363,1.0388399,0.9943978
2011-02-14,0.7633031,1.2412173,0.99076635,0.830456,0.7947496
2011-02-15,0.8063035,1.3403704,0.8341654,0.6904373,0.66386175
2011-02-16,0.71951365,1.2253,0.8002369,0.6373471,0.61584276
2011-02-17,0.6483854,1.1197287,0.7542236,0.60345316,0.58503354
2011-02-18,0.60477686,1.0254297,0.75243455,0.5705326,0.56122684
2011-02-19,0.5510357,0.95741343,0.71450096,0.5299614,0.5217932
2011-02-20,0.5194847,1.2085598,0.66299963,0.476537,0.4708662
2011-02-21,0.4619112,1.2310346,0.60314023,0.41875923,0.41581088
2011-02-22,0.4134345,1.0474366,0.55117726,0.37695885,0.37434328
2011-02-23,0.37664056,0.90555584,0.51109785,0.34441382,0.3403045
2011-02-24,0.39236116,0.91578805,0.5179244,0.35482037,0.34730852
2011-02-25,0.3899411,0.9794362,0.52780074,0.3588693,0.35062015
2011-02-26,0.43802118,1.1883918,0.5279364,0.35822326,0.3493048
2011-02-27,0.45650297,1.4774225,0.85773903,0.5330747,0.540759
2011-02-28,0.432683,1.346659,0.8122049,0.5201663,0.5267628
2011-03-01,0.42238587,1.1712574,0.72991884,0.4788767,0.479621
2011-03-02,0.39492708,1.0357032,0.66244423,0.4386497,0.43533003
2011-03-03,0.37091106,0.9182176,0.6217129,0.41844356,0.4130813
2011-03-04,0.35388243,0.856007,0.6012533,0.40801346,0.401802
2011-03-05,0.34040678,0.80218005,0.5825788,0.39804304,0.38934702
2011-03-06,0.31299096,0.72514546,0.54169226,0.36652505,0.35651928
2011-03-07,0.30492246,0.69750506,0.52092737,0.34914213,0.3404191
2011-03-08,0.3020289,0.69014513,0.52692527,0.35309017,0.3452242
2011-03-09,0.3126909,0.6869763,0.56878316,0.38638413,0.38092107
2011-03-10,0.30761594,0.68557596,0.62897503,0.4432788,0.42989844
2011-03-11,0.30692732,0.6636186,0.6199626,0.44252938,0.43071508
2011-03-12,0.29897338,0.6432018,0.60151565,0.42572308,0.41477537
2011-03-13,0.31112903,0.6730205,0.6069038,0.42893702,0.42153192
2011-03-14,0.34535706,0.6747876,0.60290945,0.4212587,0.41800082
2011-03-15,0.34670305,0.6476542,0.5871141,0.4115476,0.4107027
2011-03-16,0.32734102,0.6482798,0.5657901,0.39315915,0.39407867
2011-03-17,0.30887604,0.7697468,1.2680339,0.70317364,0.7641683
2011-03-18,0.29973274,0.8146129,2.4246488,1.3793312,1.5495907
2011-03-19,0.39014417,1.0766245,2.2278233,1.1525075,1.3239605
2011-03-20,0.3815536,0.91624486,1.4441378,0.8193408,0.8990063
2011-03-21,0.34880686,0.7832782,0.98710203,0.6516739,0.6876519
2011-03-22,0.32736778,0.72003555,0.817858,0.5657525,0.59113497
2011-03-23,0.30547774,0.68065524,0.7376499,0.512583,0.5363957
2011-03-24,0.293733,0.6548642,0.6979542,0.48555094,0.51087105
2011-03-25,0.2808197,0.63273406,0.6656041,0.45181465,0.47855425
2011-03-26,0.26321208,0.64422166,0.65075076,0.41721487,0.44786078
2011-03-27,0.2500767,0.67486906,0.75175667,0.40731317,0.45968395
2011-03-28,0.23787439,0.64896333,0.67931277,0.39189112,0.43583673
2011-03-29,0.22876209,0.61279976,0.62863636,0.37091762,0.4107716
2011-03-30,0.21813875,0.58860385,0.6472999,0.36763537,0.41071975
2011-03-31,0.21943611,0.6348016,0.7227972,0.38701737,0.44115877
2011-04-01,0.23589045,0.65316236,0.7335198,0.41157705,0.46875232
2011-04-02,0.2299307,0.63306093,0.67320454,0.39694482,0.4477647
2011-04-03,0.2288537,0.6050817,0.62828434,0.37455708,0.42116046
2011-04-04,0.26662302,0.80607283,1.2690346,0.5456593,0.70723844
2011-04-05,0.26480472,0.7513114,1.1329076,0.53578764,0.66154623
2011-04-06,0.27405083,0.68335843,0.9108804,0.47686,0.56973374
2011-04-07,0.24881005,0.64513135,0.78697455,0.44594353,0.5230316
2011-04-08,0.23565292,0.5870034,0.67173076,0.38717127,0.45268494
2011-04-09,0.21699387,0.55173117,0.5876996,0.3436721,0.40105355
2011-04-10,0.20731682,0.5198246,0.525047,0.306404,0.35572326
2011-04-11,0.19588065,0.5039251,0.5006072,0.29410863,0.3417741
2011-04-12,0.17863435,0.47985214,0.5722491,0.27887815,0.34597313
2011-04-13,0.20342553,0.44684452,0.5125394,0.26906157,0.3222344
2011-04-14,0.17984164,0.42365116,0.46618152,0.2513277,0.29660594
2011-04-15,0.17155558,0.40288335,0.44190484,0.22838128,0.27353108
2011-04-16,0.16364735,0.39415228,0.43173718,0.2325418,0.27402157
2011-04-17,0.15814978,0.39803547,0.42720717,0.22988552,0.27072114
2011-04-18,0.15124607,0.4001941,0.43138796,0.23417681,0.27509063
2011-04-19,0.15269172,0.40756398,0.4368714,0.23559892,0.27858
2011-04-20,0.1478383,0.4166631,0.44686013,0.24454921,0.28883553
2011-04-21,0.14498103,0.41773468,0.45754045,0.25337875,0.3005818
2011-04-22,0.14751625,0.42245775,0.45269614,0.2552125,0.30038643
2011-04-23,0.14413434,0.41881698,0.4470998,0.24713373,0.29464883
2011-04-24,0.14672941,0.4295345,0.43456298,0.2567445,0.29567498
2011-04-25,0.1422121,0.44932622,0.40495604,0.24065161,0.27541476
2011-04-26,0.13423693,0.40554726,0.39294934,0.21242756,0.24833608
2011-04-27,0.13290769,0.38526875,0.42963338,0.22898924,0.26513886
2011-04-28,0.13665318,0.4082182,0.41339427,0.24993849,0.27517974
2011-04-29,0.1477068,0.4200682,0.39994794,0.24797744,0.27084213
2011-04-30,0.13530433,0.48012477,0.3959906,0.23402411,0.2564749
2011-05-01,0.15986246,0.5068567,0.57163286,0.22840708,0.27810788
2011-05-02,0.14498973,0.5203524,0.52994543,0.28080648,0.32134855
2011-05-03,0.122799695,0.48666853,0.4900378,0.2228074,0.26140028
2011-05-04,0.14143103,0.43906647,0.42011178,0.2443757,0.25593644
2011-05-05,0.12657571,0.41287583,0.38655645,0.22518283,0.23550141
2011-05-06,0.12899166,0.41960192,0.38882613,0.22963905,0.24190563
2011-05-07,0.12392962,0.42837554,0.3932702,0.2365588,0.24601853
2011-05-08,0.12183231,0.4271006,0.38488764,0.23340672,0.24330086
2011-05-09,0.12536389,0.41821176,0.3675691,0.22851676,0.23365778
2011-05-10,0.12232363,0.4156372,0.3715251,0.23778689,0.24134052
2011-05-11,0.11722618,0.40809953,0.38130093,0.24128443,0.24486148
2011-05-12,0.12953526,0.40571362,0.45039654,0.22746176,0.24580818
2011-05-13,0.12422079,0.4118265,0.42807716,0.31468588,0.3037455
2011-05-14,0.10954976,0.38005877,0.75364196,0.33454627,0.37221897
2011-05-15,0.11434114,0.38215464,1.0113312,0.46040094,0.51419914
2011-05-16,0.12276554,0.3776024,0.8597887,0.44840962,0.48370177
2011-05-17,0.116256654,0.37636727,0.68072987,0.4012274,0.42005092
2011-05-18,0.11632115,0.3756621,0.5869148,0.37315327,0.37858206
2011-05-19,0.07804769,0.37598377,0.55132604,0.34319484,0.35164654
2011-05-20,0.13455617,0.39285374,0.56121945,0.35088682,0.3538581
2011-05-21,0.11922842,0.38998926,0.52674806,0.38192368,0.36697018
2011-05-22,0.10746354,0.40201402,0.4913785,0.364972,0.3463686
2011-05-23,0.13571763,0.4141028,0.4627654,0.34294927,0.3202622
2011-05-24,0.122228086,0.3937108,0.4406423,0.3328467,0.3119635
2011-05-25,0.11903894,0.3772505,0.3928036,0.30142993,0.27857894
2011-05-26,0.11152136,0.38302743,0.39324486,0.2807045,0.2619868
2011-05-27,0.08822787,0.34007108,1.0926986,0.58733785,0.58312
