basin_id,NSE
GRDC_6321100,0.548
GRDC_6321200,0.645
GRDC_6334270,0.767
GRDC_6334280,
GRDC_6334800,0.613
GRDC_6335020,0.898
GRDC_6335030,0.897
GRDC_6335031,0.832
GRDC_6335032,0.709
GRDC_6335035,0.746
GRDC_6335040,-0.452
GRDC_6335045,0.881
GRDC_6335046,0.836
GRDC_6335048,0.862
GRDC_6335050,0.922
GRDC_6335055,0.761
GRDC_6335060,0.923
GRDC_6335070,0.922
GRDC_6335075,0.635
GRDC_6335076,0.593
GRDC_6335080,0.847
GRDC_6335081,0.81
GRDC_6335082,0.753
GRDC_6335083,0.842
GRDC_6335100,0.891
GRDC_6335113,0.667
GRDC_6335115,0.668
GRDC_6335116,0.708
GRDC_6335117,0.453
GRDC_6335125,0.865
GRDC_6335150,0.885
GRDC_6335155,0.537
GRDC_6335156,0.534
GRDC_6335160,0.69
GRDC_6335165,0.472
GRDC_6335167,0.598
GRDC_6335170,0.824
GRDC_6335175,0.378
GRDC_6335180,0.873
GRDC_6335190,-3.625
GRDC_6335200,0.85
GRDC_6335240,0.88
GRDC_6335290,0.811
GRDC_6335291,0.762
GRDC_6335300,0.667
GRDC_6335301,0.873
GRDC_6335302,0.866
GRDC_6335303,0.87
GRDC_6335304,0.762
GRDC_6335310,0.736
GRDC_6335320,0.724
GRDC_6335350,0.752
GRDC_6335351,0.677
GRDC_6335360,0.741
GRDC_6335400,0.821
GRDC_6335410,0.841
GRDC_6335450,0.729
GRDC_6335451,
GRDC_6335460,0.646
GRDC_6335461,
GRDC_6335465,0.743
GRDC_6335470,0.644
GRDC_6335485,0.537
GRDC_6335500,0.827
GRDC_6335510,0.345
GRDC_6335520,0.823
GRDC_6335521,0.801
GRDC_6335530,0.762
GRDC_6335540,0.809
GRDC_6335550,0.632
GRDC_6335551,0.515
GRDC_6335560,0.489
GRDC_6335565,0.572
GRDC_6335570,0.661
GRDC_6335571,-0.341
GRDC_6335580,0.548
GRDC_6335600,0.816
GRDC_6335601,0.747
GRDC_6335602,0.726
GRDC_6335603,0.704
GRDC_6335604,0.756
